<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.05	00:00:00	1787.36	1787.64	1784.27	1785.94	3979	0	30
2021.07.05	04:00:00	1785.91	1789.84	1784.94	1787.34	12632	0	23
2021.07.05	08:00:00	1787.36	1794.39	1784.51	1792.66	14247	0	23
2021.07.05	12:00:00	1792.65	1793.37	1789.03	1791.75	12785	0	23
2021.07.05	16:00:00	1791.68	1793.14	1789.66	1791.62	10334	0	29
2021.07.06	00:00:00	1791.20	1792.66	1790.60	1791.67	3248	0	30
2021.07.06	04:00:00	1791.67	1800.61	1790.76	1800.52	15909	0	23
2021.07.06	08:00:00	1800.52	1809.05	1799.86	1805.73	20474	0	23
2021.07.06	12:00:00	1805.72	1814.88	1805.40	1809.20	19102	0	23
2021.07.06	16:00:00	1809.17	1812.47	1790.01	1794.19	33881	0	23
2021.07.06	20:00:00	1794.22	1797.57	1792.89	1796.98	13492	0	23
2021.07.07	00:00:00	1795.47	1796.71	1793.75	1795.19	6217	0	30
2021.07.07	04:00:00	1795.19	1802.79	1794.42	1797.86	13952	0	23
2021.07.07	08:00:00	1797.87	1807.55	1797.32	1804.34	16058	0	27
2021.07.07	12:00:00	1804.35	1809.71	1803.16	1804.41	17366	0	23
2021.07.07	16:00:00	1804.38	1807.57	1796.80	1801.67	29991	0	23
2021.07.07	20:00:00	1801.64	1808.14	1800.44	1803.50	15998	0	25
2021.07.08	00:00:00	1802.88	1805.45	1802.61	1804.34	5102	0	0
2021.07.08	04:00:00	1804.33	1804.86	1796.13	1797.73	14049	0	27
2021.07.08	08:00:00	1797.73	1814.94	1796.23	1813.27	24444	0	23
2021.07.08	12:00:00	1813.29	1818.15	1806.35	1813.48	26128	0	23
2021.07.08	16:00:00	1813.41	1816.93	1793.95	1797.43	32316	0	23
2021.07.08	20:00:00	1797.46	1803.49	1796.48	1802.08	11979	0	23
2021.07.09	00:00:00	1801.69	1804.39	1800.57	1800.64	5212	0	30
2021.07.09	04:00:00	1800.64	1807.68	1799.25	1801.13	18191	0	24
2021.07.09	08:00:00	1801.14	1805.95	1796.54	1802.50	21794	0	23
2021.07.09	12:00:00	1802.44	1805.53	1798.12	1802.35	19895	0	25
2021.07.09	16:00:00	1802.35	1811.56	1801.01	1810.26	25085	0	23
2021.07.09	20:00:00	1810.29	1812.28	1807.11	1807.87	10805	0	23
2021.07.12	00:00:00	1807.69	1809.28	1805.38	1808.79	4479	0	30
2021.07.12	04:00:00	1808.79	1810.71	1801.84	1802.86	16033	0	23
2021.07.12	08:00:00	1802.86	1806.19	1798.75	1803.13	17308	0	26
2021.07.12	12:00:00	1803.13	1804.97	1798.14	1802.66	16785	0	23
2021.07.12	16:00:00	1802.64	1807.42	1791.50	1805.55	24971	0	23
2021.07.12	20:00:00	1805.55	1807.43	1803.86	1805.82	10470	0	23
2021.07.13	00:00:00	1805.79	1808.39	1805.79	1807.13	3179	0	29
2021.07.13	04:00:00	1807.15	1812.68	1806.61	1809.68	11602	0	23
2021.07.13	08:00:00	1809.53	1812.27	1805.74	1808.88	17469	0	24
2021.07.13	12:00:00	1808.83	1817.07	1798.63	1800.23	19017	0	23
2021.07.13	16:00:00	1800.30	1815.17	1798.88	1811.44	29447	0	23
2021.07.13	20:00:00	1811.44	1811.52	1805.09	1807.43	18524	0	23
2021.07.14	00:00:00	1807.35	1808.15	1804.37	1807.28	4813	0	30
2021.07.14	04:00:00	1807.32	1813.74	1806.74	1811.66	15042	0	24
2021.07.14	08:00:00	1811.66	1815.32	1809.79	1813.94	18032	0	23
2021.07.14	12:00:00	1813.92	1829.61	1812.61	1828.54	20101	0	23
2021.07.14	16:00:00	1828.57	1829.74	1819.33	1821.79	28947	0	23
2021.07.14	20:00:00	1821.73	1828.17	1821.68	1827.04	12805	0	23
2021.07.15	00:00:00	1826.87	1828.49	1824.66	1824.95	5435	0	24
2021.07.15	04:00:00	1824.99	1829.04	1823.56	1826.05	14526	0	25
2021.07.15	08:00:00	1826.05	1834.08	1825.75	1832.16	18925	0	23
2021.07.15	12:00:00	1832.17	1832.93	1822.35	1823.24	23527	0	23
2021.07.15	16:00:00	1823.24	1827.27	1820.16	1826.94	28763	0	23
2021.07.15	20:00:00	1826.94	1830.16	1826.04	1829.24	15941	0	23
2021.07.16	00:00:00	1828.47	1831.88	1828.47	1829.21	4852	0	26
2021.07.16	04:00:00	1829.21	1831.46	1825.59	1826.31	14496	0	23
2021.07.16	08:00:00	1826.35	1827.22	1820.80	1822.74	19673	0	23
2021.07.16	12:00:00	1822.75	1825.33	1815.35	1822.66	19633	0	23
2021.07.16	16:00:00	1822.68	1826.61	1809.43	1815.15	32566	0	23
2021.07.16	20:00:00	1815.12	1816.35	1808.72	1811.44	14613	0	23
2021.07.19	00:00:00	1811.01	1817.16	1810.12	1814.75	6242	0	31
2021.07.19	04:00:00	1814.79	1816.16	1810.98	1812.23	15076	0	27
2021.07.19	08:00:00	1812.18	1813.20	1802.39	1804.22	20958	0	23
2021.07.19	12:00:00	1804.20	1810.12	1794.91	1808.97	23057	0	23
2021.07.19	16:00:00	1809.07	1815.47	1804.75	1808.72	31529	0	23
2021.07.19	20:00:00	1808.68	1813.15	1806.80	1812.52	14070	0	23
2021.07.20	00:00:00	1812.60	1814.00	1810.60	1813.24	4172	0	27
2021.07.20	04:00:00	1813.24	1818.99	1813.06	1817.64	15141	0	26
2021.07.20	08:00:00	1817.67	1818.05	1811.51	1813.01	18453	0	26
2021.07.20	12:00:00	1813.01	1823.97	1812.45	1822.64	22233	0	23
2021.07.20	16:00:00	1822.65	1824.96	1804.96	1811.92	29212	0	23
2021.07.20	20:00:00	1811.89	1811.93	1808.12	1810.21	10060	0	24
2021.07.21	00:00:00	1809.71	1810.94	1807.96	1808.60	3332	0	28
2021.07.21	04:00:00	1808.60	1809.41	1805.06	1807.87	13316	0	23
2021.07.21	08:00:00	1807.87	1813.58	1803.11	1807.29	18989	0	23
2021.07.21	12:00:00	1807.25	1808.86	1794.63	1798.89	20396	0	23
2021.07.21	16:00:00	1798.88	1805.70	1796.80	1802.89	25171	0	23
2021.07.21	20:00:00	1802.95	1805.26	1801.76	1803.19	11910	0	23
2021.07.22	00:00:00	1803.49	1803.79	1801.44	1802.18	3082	0	32
2021.07.22	04:00:00	1802.23	1802.99	1797.13	1798.88	10142	0	23
2021.07.22	08:00:00	1798.88	1803.16	1792.61	1797.06	17858	0	23
2021.07.22	12:00:00	1797.03	1806.09	1793.94	1802.73	21938	0	23
2021.07.22	16:00:00	1802.78	1807.95	1795.84	1805.08	28387	0	23
2021.07.22	20:00:00	1805.05	1807.84	1804.26	1806.34	9035	0	25
2021.07.23	00:00:00	1807.24	1808.30	1806.65	1806.82	2935	0	26
2021.07.23	04:00:00	1806.69	1808.39	1802.10	1803.21	10208	0	30
2021.07.23	08:00:00	1803.27	1810.26	1801.21	1804.23	15522	0	26
2021.07.23	12:00:00	1804.26	1805.19	1789.43	1802.83	18438	0	23
2021.07.23	16:00:00	1802.83	1804.48	1794.81	1801.90	22364	0	23
2021.07.23	20:00:00	1801.94	1804.51	1800.60	1801.86	8580	0	23
2021.07.26	00:00:00	1802.29	1802.60	1798.30	1799.16	4481	0	30
2021.07.26	04:00:00	1799.16	1807.23	1798.41	1806.27	13410	0	26
2021.07.26	08:00:00	1806.32	1811.41	1804.41	1808.45	18998	0	23
2021.07.26	12:00:00	1808.42	1809.81	1800.93	1803.06	17037	0	24
2021.07.26	16:00:00	1803.06	1804.52	1796.47	1799.32	24391	0	23
2021.07.26	20:00:00	1799.33	1799.88	1796.29	1797.31	9471	0	23
